State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income
01,000,AL,Alabama,"798,469",16.2,"59,703"
01,001,AL,Autauga County,"6,988",11.8,"70,148"
01,003,AL,Baldwin County,"30,195",12.4,"71,704"
01,005,AL,Barbour County,"5,860",26.7,"41,151"
01,007,AL,Bibb County,"3,979",20.0,"54,309"
01,009,AL,Blount County,"8,022",13.6,"60,553"
01,011,AL,Bullock County,"2,670",31.5,"35,798"
01,013,AL,Butler County,"4,298",23.4,"41,852"
01,015,AL,Calhoun County,"20,308",18.5,"52,772"
01,017,AL,Chambers County,"6,962",21.0,"45,563"
01,019,AL,Cherokee County,"3,862",15.5,"52,613"
01,021,AL,Chilton County,"7,158",15.8,"61,823"
01,023,AL,Choctaw County,"2,554",20.7,"44,458"
01,025,AL,Clarke County,"5,204",23.5,"44,906"
01,027,AL,Clay County,"2,371",17.0,"49,599"
01,029,AL,Cleburne County,"2,370",15.7,"49,248"
01,031,AL,Coffee County,"8,492",15.7,"62,429"
01,033,AL,Colbert County,"9,962",17.3,"54,593"
01,035,AL,Conecuh County,"3,329",30.1,"36,106"
01,037,AL,Coosa County,"1,813",18.1,"49,485"
01,039,AL,Covington County,"7,071",19.2,"46,958"
01,041,AL,Crenshaw County,"2,762",21.5,"49,161"
01,043,AL,Cullman County,"14,478",16.2,"61,774"
01,045,AL,Dale County,"9,965",20.5,"50,567"
01,047,AL,Dallas County,"11,945",32.9,"35,258"
01,049,AL,DeKalb County,"13,248",18.7,"50,037"
01,051,AL,Elmore County,"9,779",11.7,"71,463"
01,053,AL,Escambia County,"7,224",20.9,"47,792"
01,055,AL,Etowah County,"17,990",17.7,"55,487"
01,057,AL,Fayette County,"3,092",19.5,"49,205"
01,059,AL,Franklin County,"5,804",18.5,"49,611"
01,061,AL,Geneva County,"4,926",18.6,"51,585"
01,063,AL,Greene County,"2,206",30.0,"35,449"
01,065,AL,Hale County,"3,294",22.9,"44,702"
01,067,AL,Henry County,"2,754",15.8,"56,702"
01,069,AL,Houston County,"18,465",17.2,"56,842"
01,071,AL,Jackson County,"8,434",16.1,"51,965"
01,073,AL,Jefferson County,"106,000",16.4,"61,996"
01,075,AL,Lamar County,"2,457",18.1,"51,523"
01,077,AL,Lauderdale County,"12,156",13.3,"59,023"
01,079,AL,Lawrence County,"5,402",16.4,"55,516"
01,081,AL,Lee County,"26,211",15.0,"59,637"
01,083,AL,Limestone County,"10,669",9.9,"83,159"
01,085,AL,Lowndes County,"2,814",29.4,"42,268"
01,087,AL,Macon County,"5,351",32.4,"36,601"
01,089,AL,Madison County,"44,142",11.3,"80,426"
01,091,AL,Marengo County,"3,603",19.5,"45,587"
01,093,AL,Marion County,"5,004",17.6,"47,742"
01,095,AL,Marshall County,"16,175",16.5,"53,388"
01,097,AL,Mobile County,"77,450",19.2,"54,315"
01,099,AL,Monroe County,"3,963",20.7,"47,498"
01,101,AL,Montgomery County,"39,991",18.4,"56,862"
