STATE,NAME,Year,BIRTHS,DEATHS,NETMIG,POPESTIMATE,Total exemptions,Median AGI,Mean AGI,AveragePrice,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars)
1,Alabama,2010,14202,11077,2278,4785514,3902188,30125,49913,113438,772,1130,346
1,Alabama,2011,59699,48837,3259,4799642,3885841,30461,50677,117263,774,1134,344
1,Alabama,2012,59074,48363,6168,4816632,3853194,31715,54125,121525,725,1104,326
1,Alabama,2013,57943,50853,7788,4831586,3842311,32524,53790,127781,718,1093,332
1,Alabama,2014,58914,49720,3163,4843737,3828425,33530,56079,134370,733,1119,344
1,Alabama,2015,59653,51878,3542,4854803,3819836,34254,57836,146283,724,1124,345
1,Alabama,2016,59695,51711,4153,4866824,3790497,34999,59109,158807,728,1126,337
1,Alabama,2017,58644,53196,5833,4877989,3787331,36120,61451,162740,716,1123,337
1,Alabama,2019,57251,54038,13121,4907965,3895631,34712,60336,155918,753,1172,362
1,Alabama,2020,56739,58354,15193,4921532,3858978,35694,62986,151721,760,1223,379
2,Alaska,2010,2902,899,1643,713982,645097,42234,64415,164607,1363,1772,499
2,Alaska,2011,11712,3922,554,722349,644553,42994,64913,173561,1346,1794,529
2,Alaska,2012,11126,3923,1158,730810,642988,44387,69072,181887,1364,1831,549
2,Alaska,2013,11349,4038,-507,737626,636994,46142,69622,193324,1311,1746,552
2,Alaska,2014,11447,4007,-8242,737075,632211,48788,73920,209471,1366,1797,545
2,Alaska,2015,11347,4337,-5780,738430,633840,49881,75503,233426,1360,1817,541
2,Alaska,2016,11284,4426,-2752,742575,626266,48546,72999,253271,1360,1851,547
2,Alaska,2017,10757,4429,-7973,740983,621422,49538,74446,262414,1373,1844,591
2,Alaska,2019,9860,4748,-8123,733603,627948,48220,74596,261164,1382,1882,577
2,Alaska,2020,9733,5249,-6902,731158,615927,48670,75858,258613,1403,1926,619
4,Arizona,2010,20951,11506,5833,6407342,5161432,32802,52792,222489,1119,1442,366
4,Arizona,2011,86097,48173,28146,6473416,5228426,33005,53671,224439,1056,1365,370
4,Arizona,2012,85581,48748,45529,6556344,5224805,34223,57855,222498,969,1320,370
4,Arizona,2013,86097,50612,42597,6634690,5273064,34829,57275,214757,943,1277,368
4,Arizona,2014,86129,50241,61772,6732873,5314210,35715,59934,228362,931,1273,368
4,Arizona,2015,86755,52843,65749,6832810,5381573,36570,62180,277638,976,1319,385
4,Arizona,2016,84736,56023,83154,6944767,5416769,37453,63199,310328,975,1328,393
4,Arizona,2017,83156,56320,76310,7048088,5491410,39114,67313,295196,1009,1365,398
4,Arizona,2019,81294,61049,107423,7291843,5829921,38325,67070,185607,1038,1457,421
4,Arizona,2020,81451,66385,114706,7421401,5848248,39583,71166,181358,1124,1544,440
5,Arkansas,2010,9446,7024,3340,2921998,2365461,29350,47801,92956,657,987,311
5,Arkansas,2011,38430,29439,9993,2941038,2362937,29858,49249,97756,674,988,310
5,Arkansas,2012,38609,29715,2712,2952876,2350529,31023,54453,103218,647,975,309
5,Arkansas,2013,37986,30972,483,2960459,2345351,31634,53371,109220,637,979,313
5,Arkansas,2014,38239,29970,23,2968759,2343795,32710,56429,116366,662,995,331
5,Arkansas,2015,38794,31320,3526,2979732,2344081,33327,57266,126191,663,1029,340
5,Arkansas,2016,38611,31140,4643,2991815,2335903,33842,58859,134333,645,1017,325
5,Arkansas,2017,37694,32328,6673,3003855,2337224,34982,62534,138586,666,1025,328
5,Arkansas,2019,36604,31465,3696,3020985,2421441,33124,57858,136435,662,1094,348
5,Arkansas,2020,36332,33832,7067,3030522,2404157,34146,60399,137057,737,1147,372
6,California,2010,123328,57317,-576,37319550,31330137,35623,65552,294427,1790,2242,452
6,California,2011,509748,238381,45837,37636311,31563211,35952,66860,326426,1740,2182,464
6,California,2012,497428,239541,54261,37944551,31543522,37399,74302,360332,1682,2119,478
6,California,2013,499632,247702,60138,38253768,31859070,38193,72944,402252,1612,2059,486
6,California,2014,498931,244044,81568,38586706,32088109,39424,78415,481727,1613,2068,498
6,California,2015,500368,253789,73450,38904296,32389019,40998,82256,563906,1648,2123,524
6,California,2016,489146,260115,16543,39149186,32432252,42542,83174,596922,1691,2188,546
6,California,2017,482694,265216,-28235,39337785,32583266,44516,88880,552119,1745,2269,573
6,California,2019,452438,277722,-174854,39437610,33078420,44052,88746,371494,1835,2421,622
6,California,2020,448160,304961,-213510,39368078,32827639,43225,92513,384831,1912,2523,694
8,Colorado,2010,16787,7830,8599,5047539,4408160,39314,64213,200950,1327,1590,387
8,Colorado,2011,65940,32010,40204,5121900,4450216,39753,66661,228179,1306,1560,403
8,Colorado,2012,64738,32715,38987,5193660,4490119,41329,72131,241324,1281,1551,400
8,Colorado,2013,64732,33583,45135,5270774,4552869,42261,70069,247628,1235,1516,407
8,Colorado,2014,65706,33932,49155,5352637,4626058,44036,75253,258696,1250,1536,416
8,Colorado,2015,66346,36243,70848,5454328,4702893,45044,77424,276252,1273,1558,427
8,Colorado,2016,66592,36713,59358,5543844,4737717,45869,78168,285347,1292,1597,437
8,Colorado,2017,65316,37693,45742,5617421,4800857,48064,82435,285589,1353,1681,454
8,Colorado,2019,63145,39290,37391,5758486,4920892,48538,84886,265059,1466,1845,495
8,Colorado,2020,63285,42735,28616,5807719,4909097,49584,88165,263992,1558,1962,551
9,Connecticut,2010,9497,6848,2620,3579173,3092827,46087,90736,234279,1704,2068,777
9,Connecticut,2011,37637,29295,1159,3588632,3088054,46577,90991,256026,1683,2052,805
9,Connecticut,2012,36854,29064,-1158,3595211,3076430,47721,97910,281024,1668,2027,806
9,Connecticut,2013,36134,29755,-5710,3595792,3072170,48324,95492,309965,1622,1986,792
