Geography,Geographic Area Name,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars),Year
0400000US01,Alabama,728,1126,337,2016
0400000US02,Alaska,1360,1851,547,2016
0400000US04,Arizona,975,1328,393,2016
0400000US05,Arkansas,645,1017,325,2016
0400000US06,California,1691,2188,546,2016
0400000US08,Colorado,1292,1597,437,2016
0400000US09,Connecticut,1613,1997,819,2016
0400000US10,Delaware,1095,1463,438,2016
0400000US11,District of Columbia,1957,2422,638,2016
0400000US12,Florida,958,1410,474,2016
0400000US13,Georgia,990,1336,398,2016
0400000US15,Hawaii,1577,2239,492,2016
0400000US16,Idaho,884,1168,348,2016
0400000US17,Illinois,1163,1588,591,2016
0400000US18,Indiana,818,1070,377,2016
0400000US19,Iowa,847,1186,447,2016
0400000US20,Kansas,885,1264,465,2016
0400000US21,Kentucky,756,1111,346,2016
0400000US22,Louisiana,692,1214,318,2016
0400000US23,Maine,945,1328,454,2016
0400000US24,Maryland,1572,1918,592,2016
0400000US25,Massachusetts,1647,2069,736,2016
0400000US26,Michigan,876,1215,462,2016
0400000US27,Minnesota,1128,1472,482,2016
0400000US28,Mississippi,625,1087,335,2016
0400000US29,Missouri,866,1210,408,2016
0400000US30,Montana,827,1327,399,2016
0400000US31,Nebraska,930,1290,487,2016
0400000US32,Nevada,1103,1401,401,2016
0400000US33,New Hampshire,1440,1821,743,2016
0400000US34,New Jersey,1848,2343,988,2016
0400000US35,New Mexico,752,1210,339,2016
0400000US36,New York,1358,2020,703,2016
0400000US37,North Carolina,898,1225,376,2016
0400000US38,North Dakota,759,1318,421,2016
0400000US39,Ohio,903,1211,447,2016
0400000US40,Oklahoma,757,1168,370,2016
0400000US41,Oregon,1199,1572,488,2016
0400000US42,Pennsylvania,975,1416,498,2016
0400000US44,Rhode Island,1406,1740,687,2016
0400000US45,South Carolina,806,1182,351,2016
0400000US46,South Dakota,834,1239,453,2016
0400000US47,Tennessee,809,1172,362,2016
0400000US48,Texas,1014,1469,474,2016
0400000US49,Utah,1176,1437,403,2016
0400000US50,Vermont,1162,1507,632,2016
0400000US51,Virginia,1262,1692,449,2016
0400000US53,Washington,1353,1727,531,2016
0400000US54,West Virginia,527,997,307,2016
0400000US55,Wisconsin,1018,1348,517,2016
0400000US56,Wyoming,904,1367,393,2016
0400000US72,Puerto Rico,255,846,138,2016
0400000US01,Alabama,716,1123,337,2017
0400000US02,Alaska,1373,1844,591,2017
0400000US04,Arizona,1009,1365,398,2017
0400000US05,Arkansas,666,1025,328,2017
0400000US06,California,1745,2269,573,2017
0400000US08,Colorado,1353,1681,454,2017
0400000US09,Connecticut,1616,1976,843,2017
0400000US10,Delaware,1160,1507,429,2017
0400000US11,District of Columbia,1977,2432,683,2017
0400000US12,Florida,968,1423,476,2017
0400000US13,Georgia,1004,1341,395,2017
0400000US15,Hawaii,1608,2337,497,2017
0400000US16,Idaho,926,1213,369,2017
0400000US17,Illinois,1172,1603,617,2017
0400000US18,Indiana,835,1089,383,2017
0400000US19,Iowa,879,1205,457,2017
0400000US20,Kansas,905,1314,483,2017
0400000US21,Kentucky,765,1123,352,2017
0400000US22,Louisiana,708,1233,326,2017
0400000US23,Maine,939,1313,469,2017
0400000US24,Maryland,1566,1915,596,2017
0400000US25,Massachusetts,1694,2108,770,2017
0400000US26,Michigan,885,1231,466,2017
0400000US27,Minnesota,1157,1500,503,2017
0400000US28,Mississippi,595,1090,328,2017
0400000US29,Missouri,872,1207,418,2017
0400000US30,Montana,879,1367,421,2017
0400000US31,Nebraska,975,1334,499,2017
0400000US32,Nevada,1139,1428,397,2017
0400000US33,New Hampshire,1477,1874,769,2017
0400000US34,New Jersey,1848,2348,1001,2017
0400000US35,New Mexico,743,1244,340,2017
0400000US36,New York,1379,2036,726,2017
0400000US37,North Carolina,896,1242,373,2017
0400000US38,North Dakota,823,1356,434,2017
0400000US39,Ohio,896,1214,450,2017
0400000US40,Oklahoma,760,1183,382,2017
0400000US41,Oregon,1265,1629,528,2017
0400000US42,Pennsylvania,996,1438,509,2017
0400000US44,Rhode Island,1506,1782,693,2017
0400000US45,South Carolina,796,1195,351,2017
0400000US46,South Dakota,834,1283,458,2017
0400000US47,Tennessee,807,1184,367,2017
0400000US48,Texas,1038,1513,484,2017
0400000US49,Utah,1213,1467,408,2017
0400000US50,Vermont,1176,1527,645,2017
0400000US51,Virginia,1284,1718,447,2017
0400000US53,Washington,1412,1806,569,2017
0400000US54,West Virginia,516,984,312,2017
0400000US55,Wisconsin,1020,1358,526,2017
0400000US56,Wyoming,962,1386,399,2017
0400000US72,Puerto Rico,251,828,140,2017
0400000US01,Alabama,753,1172,362,2019
0400000US02,Alaska,1382,1882,577,2019
0400000US04,Arizona,1038,1457,421,2019
0400000US05,Arkansas,662,1094,348,2019
0400000US06,California,1835,2421,622,2019
0400000US08,Colorado,1466,1845,495,2019
0400000US09,Connecticut,1667,2087,912,2019
0400000US10,Delaware,1182,1557,463,2019
0400000US11,District of Columbia,2215,2684,720,2019
0400000US12,Florida,1025,1530,512,2019
0400000US13,Georgia,1059,1450,431,2019
0400000US15,Hawaii,1713,2472,542,2019
0400000US16,Idaho,965,1306,380,2019
0400000US17,Illinois,1213,1688,641,2019
0400000US18,Indiana,874,1146,416,2019
0400000US19,Iowa,924,1266,503,2019
0400000US20,Kansas,945,1387,513,2019
0400000US21,Kentucky,786,1179,372,2019
0400000US22,Louisiana,727,1279,342,2019
0400000US23,Maine,999,1387,510,2019
0400000US24,Maryland,1634,2015,613,2019
0400000US25,Massachusetts,1776,2276,828,2019
0400000US26,Michigan,914,1285,487,2019
0400000US27,Minnesota,1200,1595,552,2019
0400000US28,Mississippi,648,1149,352,2019
0400000US29,Missouri,895,1271,446,2019
0400000US30,Montana,896,1466,450,2019
0400000US31,Nebraska,1020,1427,535,2019
0400000US32,Nevada,1230,1589,423,2019
0400000US33,New Hampshire,1534,1963,819,2019
0400000US34,New Jersey,1890,2413,1043,2019
0400000US35,New Mexico,759,1269,350,2019
0400000US36,New York,1424,2156,781,2019
0400000US37,North Carolina,951,1318,398,2019
0400000US38,North Dakota,859,1430,489,2019
0400000US39,Ohio,929,1250,478,2019
0400000US40,Oklahoma,795,1231,403,2019
0400000US41,Oregon,1328,1750,557,2019
0400000US42,Pennsylvania,1005,1477,534,2019
0400000US44,Rhode Island,1491,1837,736,2019
0400000US45,South Carolina,844,1250,372,2019
0400000US46,South Dakota,912,1371,490,2019
0400000US47,Tennessee,851,1264,387,2019
0400000US48,Texas,1103,1675,527,2019
0400000US49,Utah,1303,1605,431,2019
0400000US50,Vermont,1222,1606,668,2019
0400000US51,Virginia,1311,1792,478,2019
0400000US53,Washington,1509,1951,604,2019
0400000US54,West Virginia,533,1052,321,2019
0400000US55,Wisconsin,1046,1412,545,2019
0400000US56,Wyoming,1005,1417,419,2019
0400000US72,Puerto Rico,255,828,142,2019
0400000US01,Alabama,760,1223,379,2020
0400000US02,Alaska,1403,1926,619,2020
0400000US04,Arizona,1124,1544,440,2020
0400000US05,Arkansas,737,1147,372,2020
0400000US06,California,1912,2523,694,2020
0400000US08,Colorado,1558,1962,551,2020
0400000US09,Connecticut,1660,2083,926,2020
0400000US10,Delaware,1175,1585,463,2020
0400000US11,District of Columbia,2196,2639,748,2020
0400000US12,Florida,1105,1616,548,2020
0400000US13,Georgia,1112,1501,457,2020
0400000US15,Hawaii,1790,2584,596,2020
0400000US16,Idaho,1048,1425,419,2020
0400000US17,Illinois,1234,1717,666,2020
0400000US18,Indiana,895,1195,437,2020
0400000US19,Iowa,957,1328,521,2020
0400000US20,Kansas,969,1446,534,2020
0400000US21,Kentucky,825,1227,405,2020
